"","EntityId","Symbol","Name","PriceSourceUser","Repno","IssueId","Date1","Date2","LogChange1","LogChange2","Close1","Close2","SplitFactor1","SplitFactor2","Multiplier","VolumeSpike","Recommendation"
"156",308291,"SMTX","SMTC Corporation (USA)","ReutersAndEODData","A25CA",1,2001-03-29,2001-03-30,0.325422078,-0.405464619,4.5,3,0.199999988,0.199999988,1.45833333333333,0.1,"I"
"157",308236,"SOHU","Sohu.com Inc","ReutersAndEODData","A2591",1,2000-10-31,2000-12-28,-0.3379443,0.421725541,3.03125,2.90625,1,1,1.45833333333333,-0.2,"I"
"158",1100283,"SPE.L","Sopheon Plc","YahooAndEODData","A3A76",1,2013-06-20,2013-12-03,3.80903339,-4.60517025,62500,0.9,1,1,66.6666666666667,0,"M"
"159",1127074,"SPR.L","Sperati [C.A.] [Special Agency]","YahooAndEODData","",NA,2009-05-29,2009-06-01,0.5877867,-0.5877867,NA,500,100,100,1.79166666666667,0,"M"
"160",1127074,"SPR.L","Sperati [C.A.] [Special Agency]","YahooAndEODData","",NA,2013-12-20,2014-01-13,-4.60517025,4.60517025,NA,4,1,1,100,0,"M"
"161",1127074,"SPR.L","Sperati [C.A.] [Special Agency]","YahooAndEODData","",NA,2014-01-13,2014-02-10,4.60517025,-4.199705,4,0.06,1,1,83.3333333333333,-7.2,"M"
"162",909129,"SPSY.L","Spectra Systems Corporation","YahooAndEODData","",NA,2012-06-22,2012-08-01,1.67657745,-1.56512773,320.8334,94.5654,1,1,5,0,"E"
"163",306121,"SQMCY","Sociedad Quimica y Minera de Chile (ADR)","ReutersAndEODData","A1D0D",2,2008-11-13,2009-01-16,-0.412845224,0.430782944,450,1000,1,1,1.54166666666667,-5.5,"I"
"164",306121,"SQMCY","Sociedad Quimica y Minera de Chile (ADR)","ReutersAndEODData","A1D0D",2,2009-02-23,2009-06-02,1.28401554,-1.46040237,3250,325,1,1,3.95833333333333,-0.3,"I"
"165",319159,"SRGG","Surge Global Energy","ReutersAndEODData","AF5D5",1,1998-05-22,1998-05-26,0.5108258,-0.5108256,12.5,7.5,0.049999997,0.049999997,1.66666666666667,-6.3,"I"
"166",1094980,"SW49.L","SOCIETE GENERALE ACCEPTANCE NV PUT WTS 20/03/09(GB","ManualPriceEntry","",NA,2009-01-07,2009-01-13,-0.393245,0.411195785,123.5,175,1,1,1.5,-0.1,"M"
"167",1094982,"SW61.L","SOCIETE GENERALE ACCEPTANCE NV CALL WTS 19/06/09(G","ManualPriceEntry","",NA,2009-03-19,2009-06-12,0.452176869,-0.4103373,74.5,27.3,1,1,1.54166666666667,-1.4,"M"
"168",307590,"SWBD","Switchboard Incorporated","ReutersAndEODData","A22F2",1,2000-03-24,2000-04-14,0.380359262,-0.430782944,44.25,14.625,1,1,1.5,-1.7,"I"
"169",301411,"SWC","Stillwater Mining Company","ReutersAndEODData","A0933",1,2008-11-11,2008-11-21,-0.463376045,0.4036221,2.46,2.71,1,1,1.54166666666667,0,"I"
"170",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2007-12-20,2007-12-21,-0.4002576,0.40352717,99.86,149.5,1,1,1.5,-0.5,"M"
"171",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2007-12-21,2007-12-25,0.40352717,-0.401518464,149.5,99.86,1,1,1.5,-1.5,"M"
"172",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2007-12-25,2007-12-27,-0.401518464,0.4041959,99.86,149.6,1,1,1.5,-0.7,"M"
"173",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2007-12-27,2008-01-01,0.4041959,-0.41780597,149.6,99.86,1,1,1.5,-2.2,"M"
"174",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2008-01-01,2008-01-02,-0.41780597,0.426472634,99.86,152.97,1,1,1.54166666666667,-0.1,"M"
"175",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2008-02-25,2008-05-05,0.391413957,-0.4403009,147.7,99.86,1,1,1.5,-1.5,"M"
"176",1095038,"T2IL.L","TREASURY 2% INDEX-LINKED STK 2035","ManualPriceEntry","",NA,2008-05-05,2008-05-07,-0.4403009,0.43771854,99.86,154.7,1,1,1.54166666666667,0.4,"M"
"177",312240,"TCNO4","Tecnosolo Engenharia SA","ReutersAndEODData","A7BDE",1,2007-06-21,2007-11-16,0.43759343,-0.469170362,68,75,99.99998,99.99998,1.58333333333333,-8.4,"I"
"178",310895,"TELEFBC1","Telefonica del Peru S.A.A.","ReutersAndEODData","A532C",3,2000-07-10,2000-07-11,0.5021677,-0.4274439,5.75,3.75,1.3220495,1.3220495,1.58333333333333,-2.2,"I"
"179",1075369,"TGI-L","Tgi Ltd","ReutersAndEODData","A910E",1,1999-01-29,1999-03-08,-0.405465066,0.4260844,32,49,1,1,1.5,-4.5,"I"
"180",909185,"TMHO","Talisman Holdings","YahooAndEODData","",NA,2012-12-31,2013-03-04,0.4595323,-0.521197438,0.0019,6.5319,1,1,1.625,-6,"I"
"181",317418,"TNEN","True North Energy Cp","ReutersAndEODData","AD453",1,2005-10-11,2006-03-21,-0.54232496,0.470003635,0.25,8,4.99999952,4.99999952,1.66666666666667,-2.9,"I"
"182",1095100,"TOPC.L","Top Creation Investments Ltd","YahooAndEODData","D0D60",1,2011-04-18,2011-07-22,0.490622938,-0.5596158,9.8,6,1,1,1.70833333333333,-2.1,"I"
"183",1075041,"TPRP","Tower Properties","YahooAndEODData","",NA,2009-01-12,2009-01-20,0.664448,-0.6542711,16519.0488,5813.32959,1,1,1.91666666666667,0,"I"
"184",1095121,"TR27.L","TREASURY 4.25% STK 7/12/2027","ManualPriceEntry","",NA,2009-08-21,2009-08-24,0.904651344,-0.9013381,253.9,103.09,1,1,2.45833333333333,0.2,"E"
"185",308376,"TSYS","TeleCommunication Systems, Inc.","ReutersAndEODData","A2625",1,2000-10-17,2000-12-21,0.483426869,-0.4372143,15,3.875,1,1,1.58333333333333,-1.6,"I"
"186",308376,"TSYS","TeleCommunication Systems, Inc.","ReutersAndEODData","A2625",1,2000-12-21,2001-01-12,-0.4372143,0.454554915,3.875,5.21875,1,1,1.54166666666667,-0.8,"I"
"187",310866,"TUPY4","Tupy SA","ReutersAndEODData","A52DA",4,2007-08-23,2007-12-05,0.356674641,-0.431523144,20,13.51,1,1,1.5,-1.3,"I"
"188",320789,"TYTT","Typhoon Touch Technologies Inc(NDA)","ReutersAndEODData","B1993",1,2008-01-18,2008-01-29,0.6931472,-0.6208265,8,2.15,254.06665,254.06665,1.91666666666667,-0.7,"I"
"189",306169,"UBID","uBid, Inc.","ReutersAndEODData","A1D3D",1,1998-12-22,1998-12-24,0.469260246,-0.435500175,134.5,121.625,1,1,1.58333333333333,-1,"I"
"190",315913,"VALSIMESA","Valores Simesa S.A.","ReutersAndEODData","ABF67",1,2001-07-06,2001-07-17,1.36404872,-1.16686976,978,302,1,1,3.54166666666667,-0.8,"I"
"191",307746,"VMII","Voice Mobility Intl","ReutersAndEODData","A2397",1,2000-03-03,2000-03-06,-0.374693453,0.4205028,5.5,8.375,0.04,0.04,1.5,-0.4,"I"
